beatmap_hash,n_replays
2bdf2122690af8d785d2e8c012ec8a39,348
b26453d84db190dbf2b3b7419b154881,211
9c27752d2d46dc2f1dac8e2f548f7415,195
ea6f8e724a87cc12c8f72b7cf79bbfed,190
a5fd70d8daeb64efd2e877249b1ebf2f,167
cc4cbed3121f14b7d59ccc3d8164ae71,150
a1781fd4aa9648d017068c9776a9df86,136
540322e8e5af5a4a1d3b5b6cb25f7328,127
b1037bfca660e74dd331a9dcd971fd5a,116
0a3a67271c6b9498d5cb31306e9bf69f,115
87298fc2d397258ac3d1f1212da9be00,112
dd3a8742882abf6db6d5c4c353f13098,111
9cdc1d7bc555e29d901b60e92e73a8bd,110
79040f817a09820cbb8d885583cd557a,110
c561d0ea1025c7477359596d5976b63d,110
4e97c5f153e9cce4fbc4a573e2a576e5,107
8d6ba4d009b45812dec54c342a537dad,106
9488e124a46edc351456a43e85d79022,103
48725fb4ba4948d5d2253945143011a5,100
0e38c93a039ce202e33e26afbf747565,98
12442d02d25337b0086f6608d5f704b6,98
87c23892caf52ac3866e7ab7f7802956,95
63f6ad4256a0fc450ce11f11ea0ae3dd,94
f4c8f9cec720821e24e138e36a727025,93
c3a64f1bace663ddd57026ade460446d,91
f507e3ca1f86aa456ddf0b16b2733176,90
05176a860021955266cc9d3b20e26850,90
cfab83a12212817cbe2585586e79a61e,86
f239eb98ab78bfe8f2e106e6f6a056fb,86
77fd464eeec12fbb8828e9aa0af683d6,86
6c96b5910301450e3e9a00d81250d6db,86
34236510dcd6d83c7bfbe2469228f882,84
2b410d0ace4c592e3eda3ed26067ca85,80
310e26f05b10d284e014667517c788c3,79
f1b9aacdcd8555cb23a345a8ef2f6851,79
ba25ba7644368b2986cbe5c88275aff8,79
1e8f966c7a8f992cb2f3f5bab7d55925,79
3028f3f75d528d2adb539b3cbf25a4c1,78
4e1963d1aaebdee1b79274639e2471af,78
8e063b6547eba205f910186941362623,78
ff4200ea3f89b66549486c14e02fea08,77
2cfe83a304b5a4345a533e8e8045d12a,77
9e94c9788c1fec32a83cf223c1f9f01d,76
c48478f7a85e2b2368f1d383156319a0,74
beb07d4f030cc1fbb74a96503ac0771c,73
b6c5b633c215d5d668ad398b1c708800,72
ed83d739f0cd4f99ee67f0c39c0f57d4,71
2df157657b30ad77b8cfd7fd496984b7,70
a53a591e8ee0e4cf66a20a070968b194,70
257099a7bc15792928a55c1a8510e934,70
29bc7a971e3ddbe1b6fd5da669bc555b,69
65ae16ff17fd50f43824fe48f28335f0,69
79a4d26768767c2fdea8ad0cb0f768eb,69
f24e107fe5bb427e5a2acf2d24f568ba,68
770719aa8368d9bdf45ed428558a8e3e,68
40010b389afa31541e129e91a1fee02f,67
582efdb6cded63483af0d578e8380982,65
5503bcf0be15b4da066e8f46359745aa,64
d452e6afcd93872ba3fe3dc6bc96d901,64
527bc63f13471981010066ad57d75a02,63
4c41a3a01281e21242c85a92a29afcac,63
4a4dd5f39b232f7c14a658d2eb217f38,63
e891d442b1ec6aab5a22dd6cf8447580,62
7ec44eb3d02e4f27e1502bb583ae752e,62
c48ff001c508ebeb685dee6c052a6285,61
d3e1b4ed8e7eb8ed5dbe65659f8ca47e,60
4f32ce14a38c7466c95efe603b74cfa6,60
77602792f51ad200b9e8bfcd5edbc1f9,60
a9e199c11e6e980a5b8e7fab577a61ca,59
6dbaeb63b92250471ccbff6e93d0fd06,59
e2c3e504553586762c26a8233bb0751c,59
7da0b11e2e3b106ca2b6d7bc45e814c6,58
07ee6b0d4dc53ba3a2bfbb3ce0625706,58
9a3fc3e6633429910d2c5bbaf422b90a,58
5763f748e989fecf62b42fe01a2ac5e2,58
2a8cfd211503b300f2089469b549201c,56
7494eedd51015392985148c35c9201cd,56
6157f02d6d5702ba3e2899269a133195,56
c424bfa43b3de2c458d2fcc60e8da1f8,55
8ca4dcf91b41381b1cc6e82308cbbfc4,54
342a40bb58995cd4939103352f53baf1,54
f7a0d4493e36945956b4b0dfd1c42dd3,54
58b891421f194d7e9fec8b3a169db0e8,54
88901d028a83d015f5a59419467e3992,54
a4ef27dd75a269c5bcb628dcd6ecdb55,54
1b203dd3c97fd1d5af0f0edb776d075c,53
f7f2350adc61e213473984ffa9f96e58,53
456298a6b98dd04d56550b24ec7b155a,52
596249d333a54eac73840f2ebff42b92,52
2c6b18605486f1738f41873c4c0fec5b,52
64ccc9977acb3c27959e6f37a5ae797a,51
f02126c363fe910da6cb9c2bb9d056e3,51
d6fc90e249b391b558cce95f67d3cf86,51
bb61e72e7480e942cd6602bcffdc3252,51
3fe766585ae7bd10857d2448569e0b89,50
b8b8e3a4449dd5172c4f5b1c87f90b20,50
715b53874e67145d5b64550ec3962071,50
8098dc1599297debdf48379e0f9ad19e,50
7979904eb459f01f1f29108bb2b7fd2e,50
ee8b9ca2f6373d346818974d632bd0ff,50
ac0bca3ab9635ec68164c88e873b31fd,50
bf29e5d73632847fd9fe79fb02d3e363,49
c76bfd03a1614a66f751e106c64b1a89,48
e41d418f56f9374811157892e225a4e0,48
db81cd4d687080d9fc4de3918e1479f1,48
b2e5ab8e11877d000510cec109d7fabe,48
bf8f7319260411eddb5ee3ff8d51f71e,47
0e762244610513e5e410e83331fe4bcd,47
163eadc795223751bd9d6f0f031b0635,47
d3de68436e4aa720f615e431d1a938ae,47
13ddee79127fe993b8ddb76aeaccdbb7,47
53d8233b56f6ad28b4c7906eba0ff804,46
ac79b02ed92cd649e5c97b793a9bb54f,46
0567db3b3aff7c7acd4c7f9851ec2238,46
ce53d1fde97c07991adeac0add8ccd26,46
364d2da4c0e694fe862b76574cb02f14,46
cd9fd3bf3098a0d0aa6b72456a2972a6,46
51f74397abe8885cf83e24a363a4fa1e,46
930b6fcc81c41a1c69d9abce11153b9c,46
1f2df17bfa6f23286dba32484770f4c5,45
4967eb09c056ccbca7a212ea05da9661,45
d775fb35ce2e63c081ea65a251797df9,45
f01930be0d6d291fee3350f24ae6c2fd,45
ce208e54189a51310821ec348e7d2f3b,45
90d717f5aa233d85abdf02acac3f975e,44
2bd3f2d4419f166adca5fd0e396e2ec9,44
7f0bf4618f3295afbeb7876616c85976,44
987b8ae321bafb91453b9d0215a77607,44
be1c44c57ad5340c863971481afe561b,44
e2f3e496b1014c84c998be738887e315,43
39c709bda4855bd782b4a6e0bdf7058c,43
044de8eb3242c52b13a2cdf5b47452db,43
e5edca2a15d48b30e5ba577a804443c4,43
978e4b8839f1c9a5530b16c580139eea,43
3c897c5b1f3bc02dc4aa37dc3426b9e4,42
da4d530302710d9509124308640ac822,42
dbe3ce38a0f4461b9cbcbbf47426320d,42
40f8d2a11e6cf9f155ed685d96fed179,42
75e6e74c5c7a41b09cca332265a1374e,42
1cd63adef14a81466d6508a149d4b799,41
bd6aea9634c95136ddfe7c91cf03f32d,41
883ee55c1be0cfbea213b7dc0bba4caa,41
bf33898973db32ef99d42a308fc7cc41,41
097fe14df405741bbe1867b2cb24652d,41
2a29c58cc0ee5c74709d16ca84acf5ed,41
a05745bcaa5306df958b6ec09d1f4e77,41
aa7acb13956ee91fedc1564058ed91cb,40
09f6386e9b06b611c5c775f3ff8bb9ca,40
c7e265ba439b64109f0bf4b188090592,40
2f3fdd17b7dfc8351ed785de11d6a637,40
30ab4abf40d551f1d3c49b8cc8b37c51,40
adfcd669ab16629042c7681ff059edb2,40
3e5026cf1319029c07d0c61e3361b2ad,40
1b3d858e173a32bf47a86b44e7782f94,40
b211fcfa41513e462ee50508ff249543,40
2946411b3e85db6ae40b89661064c337,39
50ecde9832625a10224247f8c8c0eeca,39
bd5f494fec7463de91a0ff0819f88af8,39
aed65897f273df6f88cfdfaa926c52cf,39
cbc092823cb2ccf12eed93fba362e562,39
da2c9e1e0a56dc4d80b087eaca594767,39
d7e1002824cb188bf318326aa109469d,39
fc83b3e88e76bdce43ae267b4e6fa199,39
089c4d1b23c606c22977c9afdb0fa7ae,39
376ec9d30a7af9e34c4a0da1b4f9c5b3,39
c4a1207bbc191731ddf08670dbe7cc90,38
09411a6ae1526eb9ba63d133a75d1cb3,38
0e92f3bbad5506c5da00fd399986134d,38
210bf67b43facdc1c9ca79708ea4bd6a,38
ec925abb8869a8b118941f550b89155c,38
6eb542bd13f3d72fcc749e0343ac508c,38
3b7561a42b4706ec280bdd4d0afab2dc,38
b05c739c8f68c9ec43fb4cea2e80bf65,38
