example_id,beatmap_id,beatmap_hash,beatmap_path,beatmap_name,replay_path,accuracy,split
980b9bbdb4821fa76231dd0f1831a99a-134265088999409162,3513962,980b9bbdb4821fa76231dd0f1831a99a,/home/amine/PycharmProjects/osunator/maps/downloaded/3513962.osu,JANK - Versace Summer (Cut Ver.) [Everlasting Summertime],/home/amine/PycharmProjects/osunator/replays/suitable/980b9bbdb4821fa76231dd0f1831a99a-134265088999409162.osr,97.47172322022622,train
62cbff5def15544b9867c208d769fd11-134264456342510747,2014039,62cbff5def15544b9867c208d769fd11,/home/amine/PycharmProjects/osunator/maps/downloaded/2014039.osu,Kabocha - EmbryO [Taeyang's Ultra],/home/amine/PycharmProjects/osunator/replays/suitable/62cbff5def15544b9867c208d769fd11-134264456342510747.osr,95.49603174603175,test
1e42bfa222f404d0f9646577fae841bb-134264454245444432,4337668,1e42bfa222f404d0f9646577fae841bb,/home/amine/PycharmProjects/osunator/maps/downloaded/4337668.osu,xi - over the top [interstellar dimensions],/home/amine/PycharmProjects/osunator/replays/suitable/1e42bfa222f404d0f9646577fae841bb-134264454245444432.osr,95.38717483363581,train
10b8f684392ed7ede1b39ac68644d175-134250066270696583,1028733,10b8f684392ed7ede1b39ac68644d175,/home/amine/PycharmProjects/osunator/maps/downloaded/1028733.osu,9mm Parabellum Bullet - Inferno [The Eclipse],/home/amine/PycharmProjects/osunator/replays/suitable/10b8f684392ed7ede1b39ac68644d175-134250066270696583.osr,97.48931623931624,train
222mm - MAKOOTO - Tanukichi no Bouken [usagi] (2026-02-09) Osu,2852149,d446a830d15b74c9ae40e14f234335da,/home/amine/PycharmProjects/osunator/maps/downloaded/2852149.osu,MAKOOTO - Tanukichi no Bouken [usagi],/home/amine/PycharmProjects/osunator/replays/suitable/222mm - MAKOOTO - Tanukichi no Bouken [usagi] (2026-02-09) Osu.osr,97.5,test
222mm - pal@pop - Zipper feat.Yui Makino [AR9.6] (2026-02-22) Osu,4192558,d423384226516a6acafc02219e320f66,/home/amine/PycharmProjects/osunator/maps/downloaded/4192558.osu,pal@pop - Zipper feat.Yui Makino [AR9.6],/home/amine/PycharmProjects/osunator/replays/suitable/222mm - pal@pop - Zipper feat.Yui Makino [AR9.6] (2026-02-22) Osu.osr,98.51905802379217,train
222mm - Tim Follin - Title Screen [The Game of Video Quick Draw] (2026-02-08) Osu-1,4921872,472bea2cf52ad85d885ea55b64e2c13d,/home/amine/PycharmProjects/osunator/maps/downloaded/4921872.osu,Tim Follin - Title Screen [The Game of Video Quick Draw],/home/amine/PycharmProjects/osunator/replays/suitable/222mm - Tim Follin - Title Screen [The Game of Video Quick Draw] (2026-02-08) Osu-1.osr,99.01449275362319,train
222mm - Tim Follin - Title Screen [The Game of Video Quick Draw] (2026-02-08) Osu,4921872,472bea2cf52ad85d885ea55b64e2c13d,/home/amine/PycharmProjects/osunator/maps/downloaded/4921872.osu,Tim Follin - Title Screen [The Game of Video Quick Draw],/home/amine/PycharmProjects/osunator/replays/suitable/222mm - Tim Follin - Title Screen [The Game of Video Quick Draw] (2026-02-08) Osu.osr,99.01449275362319,train
300mm - Various Artists - Jump Pack 2 [Sky of Twilight ft. teuzz] (2026-04-08) Osu,5312255,403fcd580f1a9199fbc999a249f24b3e,/home/amine/PycharmProjects/osunator/maps/downloaded/5312255.osu,Various Artists - Jump Pack 2 [Sky of Twilight ft. teuzz],/home/amine/PycharmProjects/osunator/replays/suitable/300mm - Various Artists - Jump Pack 2 [Sky of Twilight ft. teuzz] (2026-04-08) Osu.osr,97.2386587771203,train
Kyqn - Arash - Temptation (feat. Rebecca) (Nightcore Mix) [~Farewell~] (2025-11-06) Osu,4956471,00dcfd6cd46793301647929dd25ae34f,/home/amine/PycharmProjects/osunator/maps/downloaded/4956471.osu,Arash - Temptation (feat. Rebecca) (Nightcore Mix) [~Farewell~],/home/amine/PycharmProjects/osunator/replays/suitable/Kyqn - Arash - Temptation (feat. Rebecca) (Nightcore Mix) [~Farewell~] (2025-11-06) Osu.osr,96.93318729463307,train
parsec petsoup - Various Artists - DT Jump Pack 3 [GIRLS' LEGEND U] (2026-02-04) Osu,5254478,fcce00456c139b41f75e67054c3cf755,/home/amine/PycharmProjects/osunator/maps/downloaded/5254478.osu,Various Artists - DT Jump Pack 3 [GIRLS' LEGEND U],/home/amine/PycharmProjects/osunator/replays/suitable/parsec petsoup - Various Artists - DT Jump Pack 3 [GIRLS' LEGEND U] (2026-02-04) Osu.osr,96.64429530201342,train
parsec petsoup - Various Artists - Jump Pack 2 [MONTAGEM BATCHI] (2026-01-25) Osu,5311688,41ededf9653e1daad0e2242304ff5699,/home/amine/PycharmProjects/osunator/maps/downloaded/5311688.osu,Various Artists - Jump Pack 2 [MONTAGEM BATCHI],/home/amine/PycharmProjects/osunator/replays/suitable/parsec petsoup - Various Artists - Jump Pack 2 [MONTAGEM BATCHI] (2026-01-25) Osu.osr,98.98218829516539,train
Petsoup 3 - HISATOMI - lullaby (feat. KIRA) (uet Remix) [daydream] (2025-12-13) Osu,3470743,aa409ca0e77ec96b65018a92a58fa5d8,/home/amine/PycharmProjects/osunator/maps/downloaded/3470743.osu,HISATOMI - lullaby (feat. KIRA) (uet Remix) [daydream],/home/amine/PycharmProjects/osunator/replays/suitable/Petsoup 3 - HISATOMI - lullaby (feat. KIRA) (uet Remix) [daydream] (2025-12-13) Osu.osr,96.22463020295837,train
Petsoup 3 - SOOOO - Raven Haven [There's Something Different About You and I] (2025-12-16) Osu,1952151,34aae027673aa7dea6ba145095d7b9a4,/home/amine/PycharmProjects/osunator/maps/downloaded/1952151.osu,SOOOO - Raven Haven [There's Something Different About You and I],/home/amine/PycharmProjects/osunator/replays/suitable/Petsoup 3 - SOOOO - Raven Haven [There's Something Different About You and I] (2025-12-16) Osu.osr,97.15875805506738,train
Petsoup 3 - t+pazolite vs C-Show - TRICKL4SH 220 [Arles] (2025-12-18) Osu,727636,6907676cd96eba60d4ac5e3db8e9f78e,/home/amine/PycharmProjects/osunator/maps/downloaded/727636.osu,t+pazolite vs C-Show - TRICKL4SH 220 [Arles],/home/amine/PycharmProjects/osunator/replays/suitable/Petsoup 3 - t+pazolite vs C-Show - TRICKL4SH 220 [Arles] (2025-12-18) Osu.osr,97.58291174817313,train
replay-osu_4861214_4785300016,4861214,6c4a5141cb50eb0251c05e3fce3e0cd1,/home/amine/PycharmProjects/osunator/maps/downloaded/4861214.osu,Turbo - PADORU / PADORU [Sotarks' Crazy Gift],/home/amine/PycharmProjects/osunator/replays/suitable/replay-osu_4861214_4785300016.osr,98.54014598540147,train
serhat - Acme Iku - chaosmaid (demo) [Lesjuh '09] (2025-12-07) Osu,124508,a7b25cb3271d3c9491e26c778abb0e54,/home/amine/PycharmProjects/osunator/maps/downloaded/124508.osu,Acme Iku - chaosmaid (demo) [Lesjuh '09],/home/amine/PycharmProjects/osunator/replays/suitable/serhat - Acme Iku - chaosmaid (demo) [Lesjuh '09] (2025-12-07) Osu.osr,96.44194756554307,train
serhat - dj TAKA - quaver [Crescendo] (2025-12-10) Osu,915210,90d717f5aa233d85abdf02acac3f975e,/home/amine/PycharmProjects/osunator/maps/downloaded/915210.osu,dj TAKA - quaver [Crescendo],/home/amine/PycharmProjects/osunator/replays/suitable/serhat - dj TAKA - quaver [Crescendo] (2025-12-10) Osu.osr,98.1859410430839,train
